City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Alfred,ZA,-33.5906,26.891,84.2,50,95,13.04,overcast clouds
79,Starkville,US,33.4504,-88.8184,60.78,40,0,6.91,clear sky
80,Kaitangata,NZ,-46.2817,169.8464,54.7,96,100,1.19,overcast clouds
81,Khash,IR,28.2211,61.2158,69.84,14,0,7.92,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,75.85,39,72,9.84,broken clouds
83,Kulevcha,UA,46.0303,29.9361,48.43,47,0,11.54,clear sky
84,Iquique,CL,-20.2208,-70.1431,68.04,65,3,6.67,clear sky
85,Pandan Niog,PH,6.2282,120.5631,81.86,77,68,5.26,broken clouds
86,Ordzhonikidze,KZ,52.4411,61.7408,31.53,95,100,13.09,overcast clouds
87,Taoudenni,ML,22.6783,-3.9836,104.77,8,66,13.15,broken clouds
88,Teahupoo,PF,-17.8333,-149.2667,73.36,75,85,16.02,overcast clouds
89,Avarua,CK,-21.2078,-159.775,75.25,100,97,5.75,overcast clouds
90,Mahebourg,MU,-20.4081,57.7,80.89,74,40,3.44,scattered clouds
91,Altagracia De Orituco,VE,9.8601,-66.3814,86.31,50,99,6.22,overcast clouds
92,Butaritari,KI,3.0707,172.7902,80.47,73,98,10.31,overcast clouds
93,Fairbanks,US,64.8378,-147.7164,24.8,63,40,6.91,scattered clouds
94,Andenes,NO,69.3143,16.1194,28.38,59,0,5.75,clear sky
95,Lagoa,PT,39.05,-27.9833,59.22,80,74,4.43,broken clouds
96,Mecca,SA,21.4267,39.8261,81.14,57,0,9.35,clear sky
97,Kahului,US,20.8947,-156.47,73.85,77,0,5.01,clear sky
98,Aden,YE,12.7794,45.0367,81.36,63,8,4.41,clear sky
99,Upernavik,GL,72.7868,-56.1549,22.41,77,100,7.63,overcast clouds
100,Kautokeino,NO,69.0125,23.0412,12.94,82,52,6.29,broken clouds
101,Chokurdakh,RU,70.6333,147.9167,-16.31,100,74,4.41,broken clouds
102,Anadyr,RU,64.75,177.4833,-14.3,76,73,6.71,fog
103,Borogontsy,RU,62.6683,131.1683,14.95,96,100,5.35,light snow
104,Yarovoye,RU,52.9273,78.58,30.47,97,100,6.51,overcast clouds
105,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,32,44,24.16,scattered clouds
106,Maridi,SS,4.9158,29.4742,82.22,47,65,7.38,broken clouds
107,Hobart,AU,-42.8794,147.3294,58.86,75,100,4.61,overcast clouds
108,Sarkikaraagac,TR,38.0794,31.3664,42.98,64,46,3.29,scattered clouds
109,Kapaa,US,22.0752,-159.319,69.78,88,75,5.75,light rain
110,Karacakoy,TR,41.4029,28.3834,58.84,81,73,4.61,broken clouds
111,Lata,PT,40.1629,-8.3327,73.49,41,100,6.04,overcast clouds
112,Pemangkat,ID,1.1667,108.9667,80.4,79,91,6.93,overcast clouds
113,Nikolayevsk-Na-Amure,RU,53.1406,140.73,10.53,94,9,3.78,clear sky
114,Zeya,RU,53.75,127.2667,15.84,90,58,1.45,broken clouds
115,Nishihara,JP,26.1842,127.7558,64.45,94,100,12.66,overcast clouds
116,Roma,US,43.2128,-75.4557,20.08,54,100,25.01,overcast clouds
117,Vaini,TO,-21.2,-175.2,77.16,94,75,11.5,light rain
118,Karratha,AU,-20.7377,116.8463,83.12,69,99,7.81,light rain
119,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,93,40,11.5,fog
120,Norman Wells,CA,65.282,-126.8329,-2.16,78,75,0.0,light snow
121,Georgetown,MY,5.4112,100.3354,85.98,80,20,7.0,few clouds
122,The Woodlands,US,30.158,-95.4894,76.59,64,0,13.8,clear sky
123,New Norfolk,AU,-42.7826,147.0587,58.5,72,96,0.92,overcast clouds
124,Havoysund,NO,70.9963,24.6622,26.83,70,100,24.02,snow
125,Bengkulu,ID,-3.8004,102.2655,76.8,81,98,6.71,overcast clouds
126,Grand-Lahou,CI,5.1367,-5.0242,85.64,71,82,11.43,broken clouds
127,Tpig,RU,41.7801,47.589,9.18,92,62,8.01,broken clouds
128,Ponazyrevo,RU,58.3578,46.3142,19.42,86,100,4.27,overcast clouds
129,Port Shepstone,ZA,-30.7414,30.455,76.73,86,0,20.76,clear sky
130,Bintulu,MY,3.1667,113.0333,77.41,94,20,5.01,few clouds
