City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Boa Vista,BR,2022-03-27 17:52:03,2.8197,-60.6733,89.58,51,75,14.97
67,Tiszaujvaros,HU,2022-03-27 17:52:03,47.9333,21.0833,45.52,35,5,6.67
68,Satkhira,BD,2022-03-27 17:52:04,22.7167,89.1,79.52,87,65,10.56
69,Umm Lajj,SA,2022-03-27 17:52:04,25.0213,37.2685,72.5,54,15,19.44
70,Puerto Ayora,EC,2022-03-27 17:51:45,-0.7393,-90.3518,82.36,81,73,11.16
71,Alta Floresta,BR,2022-03-27 17:52:04,-9.8756,-56.0861,85.82,70,75,2.3
72,Cayenne,GF,2022-03-27 17:52:05,4.9333,-52.3333,84.24,1,75,19.57
73,Mahebourg,MU,2022-03-27 17:52:05,-20.4081,57.7,79.09,83,20,2.3
74,Ust-Ordynskiy,RU,2022-03-27 17:52:05,52.805,104.7508,7.39,95,100,2.91
75,Hay River,CA,2022-03-27 17:52:06,60.8156,-115.7999,-4.02,84,75,5.75
76,Vila Do Maio,CV,2022-03-27 17:52:06,15.1333,-23.2167,75.99,72,57,14.03
77,Saskylakh,RU,2022-03-27 17:52:06,71.9167,114.0833,-5.96,99,100,3.85
78,Chuy,UY,2022-03-27 17:52:07,-33.6971,-53.4616,81.28,36,9,12.37
79,Tefe,BR,2022-03-27 17:52:07,-3.3542,-64.7114,87.91,70,75,5.75
80,Ketchikan,US,2022-03-27 17:48:15,55.3422,-131.6461,43.27,75,20,12.66
81,Korla,CN,2022-03-27 17:52:08,41.7597,86.1469,53.38,36,85,9.08
82,Ambilobe,MG,2022-03-27 17:52:12,-13.2,49.05,75.56,92,35,2.59
83,Castro,BR,2022-03-27 17:52:13,-24.7911,-50.0119,77.83,55,3,7.14
84,Upernavik,GL,2022-03-27 17:52:13,72.7868,-56.1549,27.12,72,100,1.9
85,Kabo,CF,2022-03-27 17:52:13,7.6994,18.629,86.47,11,78,5.7
86,Vestmannaeyjar,IS,2022-03-27 17:52:14,63.4427,-20.2734,46.35,92,100,10.09
87,Taltal,CL,2022-03-27 17:52:14,-25.4,-70.4833,71.26,65,9,8.63
88,Meulaboh,ID,2022-03-27 17:52:14,4.1363,96.1285,78.24,84,94,3.11
89,Atuona,PF,2022-03-27 17:52:15,-9.8,-139.0333,78.96,78,32,17.72
90,Avarua,CK,2022-03-27 17:52:15,-21.2078,-159.775,80.65,83,40,6.91
91,Cape Canaveral,US,2022-03-27 17:52:16,28.4058,-80.6048,79.02,32,0,11.5
92,Anloga,GH,2022-03-27 17:52:16,5.7947,0.8973,83.68,81,92,15.37
93,Esperance,AU,2022-03-27 17:53:16,-33.8667,121.9,62.44,69,99,12.28
94,Cape Coast,GH,2022-03-27 17:53:17,5.1053,-1.2466,82.78,80,50,12.66
95,Yarmouth,US,2022-03-27 17:53:17,41.7057,-70.2286,51.91,58,75,19.57
96,Rabaul,PG,2022-03-27 17:53:17,-4.1967,152.1721,80.38,79,99,5.39
97,Butaritari,KI,2022-03-27 17:53:18,3.0707,172.7902,80.17,71,79,7.45
98,Westport,US,2022-03-27 17:53:18,41.1415,-73.3579,47.44,49,86,10.0
99,Chara,RU,2022-03-27 17:53:19,56.9064,118.2631,12.49,87,93,2.84
100,La Cruz,MX,2022-03-27 17:53:19,23.9167,-106.9,79.23,43,2,7.78
101,Los Llanos De Aridane,ES,2022-03-27 17:51:40,28.6585,-17.9182,65.95,83,40,9.22
102,Bambous Virieux,MU,2022-03-27 17:53:20,-20.3428,57.7575,79.05,83,20,2.3
